ID,Event Title,Date,Location,Nearest City/Junction,Event Happened?,Suicide Attack?,In Baseline?,In CPOST?,CPOST ID,CPOST Criteria,CPOST Criteria - WHY?,CPOST Date,Cpost Date - Discrepancy,CPOST - Location,CPOST Location - Discrepancy,In GTD?,GTD ID,GTD Link,GTD File,GTD Criteria,GTD Criteria - WHY?,GTD Date,GTD Date - Discrepancy,GTD Location,GTD Location - Vicinity,GTD Location - Discrepancy,Notes
254,"Car Bomb, Near Marjayoun, Lebanon",3/10/1985,"Near Marjayoun, South Lebanon",Marjayoun,"YES, OUTSIDE ISRAEL",YES,NO,NO,,,,,,,,YES,198503100001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=198503100001,1985-03-10.pdf (https://dl.airtable.com/M1oNDgSRS5q2IoFV0mCN_1985-03-10.pdf),,,3/10/1985,CORRECT,Metula,,INCORRECT,Event did not happen in Israel
311,"Explosive Boat, Near Rosh HaNikra, in Lebanon",10/30/1989,"At Sea, Off Naqura, South Lebanon",Naqura,"YES, OUTSIDE ISRAEL",YES,NO,"YES, OUTSIDE ISRAEL",-666926787,,,,,,,YES,198910300014,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=198910300014,1989-10-30.pdf (https://dl.airtable.com/Vgh3E2JVRP2h2Pid1NwD_1989-10-30.pdf),,,10/30/1989,CORRECT,Rosh Hanikra,checked,AREA,Event did not happen in Israel
2,Mehola Junction Bombing,4/16/1993,Mehola junction,Mehola,YES,YES,Yes,YES,1371831319 ,YES,,4/16/1993,CORRECT,Mehola (S),CORRECT,NO,,,,,,,,,,,
368,"Car Bomb Against Military Bus, Gaza Strip ",9/12/1993,"Outside Gaza City, Gaza Strip",Gaza City,YES,YES,Yes,NO,,,,,,,,NO,,,,,,,,,,,
3,Beit El Car Bomb,10/4/1993,Near Beit El,Beit El,YES,YES,Yes,YES,846906566,YES,,10/4/1993,CORRECT,Shilo (S),INCORRECT,NO,,,,,,,,,,,
369,Sinjil Village Premature Bombing,11/2/1993,"Sinjil, West Bank",Sinjil,YES,ATTACK AVERTED,Yes,NO,,,,,,,,NO,,,,,,,,,,,
217,"Car Bomb, Golani Brigade Patrol, Gaza Strip",12/13/1993,Outskirts of Gaza City,Gaza City,YES,YES,NO,YES,-470587257,YES,,12/13/1993,CORRECT,Rafah,INCORRECT,NO,,,,,,,,,,,
4,Afula Bus Bombing,4/6/1994,Afula City Center,Afula,YES,YES,Yes,YES,-715689082,YES,,4/6/1994,CORRECT,Afula,CORRECT,YES,199404060018,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199404060018,1994-04-06.pdf (https://dl.airtable.com/1o3J1GamQjulaHeNPrmE_1994-04-06.pdf),YES,,4/6/1994,CORRECT,Afula,,CORRECT,
5,Hadera Central Bus Station Suicide Attack,4/13/1994,Hadera Central Bus Station,Hadera,YES,YES,Yes,YES,-294578190,YES,,4/13/1994,CORRECT,Hadera,CORRECT,YES,199404130016,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199404130016,1994-04-13.pdf (https://dl.airtable.com/qVjLGdUSJGSRYIpparTQ_1994-04-13.pdf),YES,,4/13/1994,CORRECT,Hadera,,CORRECT,
6,"Dizengoff Street Bus 5 Bombing, Tel Aviv",10/19/1994,"Bus 5, Dizengoff St., Tel Aviv",Tel Aviv,YES,YES,Yes,YES,-1118038832,YES,,10/19/1994,CORRECT,Tel Aviv,CORRECT,YES,199410190007,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199410190007,1994-10-19.pdf (https://dl.airtable.com/5Y4ZyowdTc20YDsYOwXB_1994-10-19.pdf),YES,,10/19/1994,CORRECT,Tel Aviv,,CORRECT,
